Energy (eV),Intensity,,,
914.8632776,0.156817717,,,
915.0084044,0.165590074,,,
915.0069655,0.164492887,,,
915.0055265,0.1633957,,,
915.0040876,0.162298513,,,
915.0026486,0.161201326,,,
915.0012097,0.160104139,,,
914.9997708,0.159006952,,,
914.9983318,0.157909765,,,
914.9968929,0.156812578,,,
915.1420197,0.165584935,,,
915.1405807,0.164487748,,,
915.1391418,0.163390561,,,
915.1377029,0.162293374,,,
915.1362639,0.161196187,,,
915.134825,0.160099,,,
915.1333861,0.159001813,,,
915.1319471,0.157904626,,,
915.1305082,0.156807439,,,
915.275635,0.165579796,,,
915.274196,0.164482609,,,
915.2727571,0.163385422,,,
915.2713181,0.162288235,,,
915.2698792,0.161191048,,,
915.2684403,0.160093861,,,
915.2670013,0.158996674,,,
915.2655624,0.157899487,,,
915.4092502,0.165574657,,,
915.4078113,0.16447747,,,
915.4063724,0.163380283,,,
915.4049334,0.162283096,,,
915.4034945,0.161185909,,,
915.4020556,0.160088722,,,
915.4006166,0.158991535,,,
915.3991777,0.157894348,,,
915.5428655,0.165569518,,,
915.5414266,0.164472331,,,
915.5399876,0.163375144,,,
915.5385487,0.162277957,,,
915.5371098,0.16118077,,,
915.5356708,0.160083583,,,
915.5342319,0.158986396,,,
915.532793,0.157889209,,,
915.531354,0.156792022,,,
915.6764808,0.165564379,,,
915.6750419,0.164467192,,,
915.6736029,0.163370005,,,
915.672164,0.162272818,,,
915.6707251,0.161175631,,,
915.6692861,0.160078444,,,
915.6678472,0.158981257,,,
915.6664083,0.15788407,,,
915.6649693,0.156786883,,,
915.8100961,0.16555924,,,
915.8086572,0.164462053,,,
915.8072182,0.163364866,,,
915.8057793,0.162267679,,,
915.8043403,0.161170492,,,
915.8029014,0.160073305,,,
915.8014625,0.158976118,,,
915.8000235,0.157878931,,,
915.7985846,0.156781744,,,
915.9422724,0.164456914,,,
915.9408335,0.163359727,,,
915.9393946,0.16226254,,,
915.9379556,0.161165353,,,
915.9365167,0.160068166,,,
915.9350778,0.158970979,,,
915.9336388,0.157873792,,,
915.9321999,0.156776605,,,
916.0758877,0.164451775,,,
916.0744488,0.163354588,,,
916.0730098,0.162257401,,,
916.0715709,0.161160214,,,
916.070132,0.160063027,,,
916.068693,0.15896584,,,
916.0672541,0.157868653,,,
916.0658152,0.156771466,,,
916.209503,0.164446636,,,
916.2080641,0.163349449,,,
916.2066251,0.162252262,,,
916.2051862,0.161155075,,,
916.2037473,0.160057888,,,
916.2023083,0.158960701,,,
916.2008694,0.157863514,,,
916.1994305,0.156766327,,,
916.3431183,0.164441497,,,
