Energy (eV),Intensity
936.64,4.328733426
936.65,4.325131412
936.66,4.323939782
936.67,4.323720977
936.68,4.323037438
936.69,4.320451606
936.7,4.314525924
936.71,4.304173796
936.72,4.289823804
936.73,4.272313322
936.74,4.252479733
936.75,4.231160418
936.76,4.209192758
936.77,4.187414135
936.78,4.16666193
936.79,4.147768193
936.8,4.131176996
936.81,4.1166883
936.82,4.104041345
936.83,4.092975371
936.84,4.083229617
936.85,4.074543322
936.86,4.066655724
936.87,4.059306064
936.88,4.052241024
936.89,4.045302455
936.9,4.038397967
936.91,4.031436486
936.92,4.024326932
936.93,4.01697823
936.94,4.009299302
936.95,4.001199071
936.96,3.992586459
936.97,3.983423557
936.98,3.973902371
936.99,3.964277047
937,3.954801731
937.01,3.94573057
937.02,3.93731771
937.03,3.929817296
937.04,3.923483475
937.05,3.91856792
937.06,3.91514161
937.07,3.912975079
937.08,3.911810482
937.09,3.911389974
937.1,3.911455708
937.11,3.91174984
937.12,3.912014524
937.13,3.911991914
937.14,3.911440239
937.15,3.910323689
937.16,3.908748986
937.17,3.906825704
937.18,3.904663418
937.19,3.902371701
937.2,3.900060128
937.21,3.897838273
937.22,3.895815709
937.23,3.894080233
937.24,3.892625303
937.25,3.891418838
937.26,3.890428756
937.27,3.889622978
937.28,3.888969421
937.29,3.888436004
937.3,3.887990646
937.31,3.88760151
937.32,3.88725468
937.33,3.886966083
937.34,3.886754467
937.35,3.886638586
937.36,3.886637188
937.37,3.886769026
937.38,3.887052849
937.39,3.887507408
937.4,3.888148763
937.41,3.888958422
937.42,3.889893942
937.43,3.890912403
937.44,3.891970883
937.45,3.893026459
937.46,3.894036211
937.47,3.894957216
937.48,3.895746553
937.49,3.896368588
937.5,3.896819312
937.51,3.897103292
937.52,3.897225095
937.53,3.897189287
937.54,3.897000435
937.55,3.896663107
937.56,3.896181869
937.57,3.895561384
937.58,3.894813389
937.59,3.893961419
937.6,3.893030128
937.61,3.892044172
937.62,3.891028204
937.63,3.890006878
937.64,3.889004849
937.65,3.888046771
937.66,3.887154963
937.67,3.886321701
937.68,3.885518405
937.69,3.884716077
937.7,3.883885716
937.71,3.882998324
937.72,3.882024902
937.73,3.88093645
937.74,3.879703968
937.75,3.87830553
937.76,3.876749943
937.77,3.875054367
937.78,3.873235959
937.79,3.871311877
937.8,3.86929928
937.81,3.867215326
937.82,3.865077173
937.83,3.862901709
937.84,3.860685845
937.85,3.858393116
937.86,3.855983891
937.87,3.853418535
937.88,3.850657414
937.89,3.847660896
937.9,3.844389346
937.91,3.840803131
937.92,3.836867254
937.93,3.832606505
937.94,3.828087233
937.95,3.823376631
937.96,3.81854189
937.97,3.813650201
937.98,3.808768756
937.99,3.803964746
938,3.799305363
938.01,3.794846516
938.02,3.790594992
938.03,3.786544214
938.04,3.782687604
938.05,3.779018584
938.06,3.775530575
938.07,3.772217
938.08,3.76907128
938.09,3.766086325
938.1,3.76321692
938.11,3.760354075
938.12,3.757382724
938.13,3.754187805
938.14,3.750654253
938.15,3.746667006
938.16,3.742110999
938.17,3.736871169
938.18,3.730848007
938.19,3.724143009
938.2,3.716997614
938.21,3.709656101
938.22,3.702362748
938.23,3.695361836
938.24,3.688897642
938.25,3.683214446
938.26,3.678556526
938.27,3.675089866
938.28,3.672638962
938.29,3.670935243
938.3,3.669710133
938.31,3.668695058
938.32,3.667621441
938.33,3.666220709
938.34,3.664224286
938.35,3.661365621
938.36,3.657529441
938.37,3.652853926
938.38,3.647501433
938.39,3.641634323
938.4,3.635414954
938.41,3.629005686
938.42,3.622568878
938.43,3.616266889
938.44,3.610254639
938.45,3.604590723
938.46,3.599266572
938.47,3.594272245
938.48,3.589597805
938.49,3.585233314
938.5,3.581168833
938.51,3.577394423
938.52,3.573900145
938.53,3.570670198
938.54,3.567663155
938.55,3.564830595
938.56,3.562124099
938.57,3.559495246
938.58,3.556895614
938.59,3.554276784
938.6,3.551590334
938.61,3.54878833
938.62,3.545859188
938.63,3.542852329
938.64,3.539823004
938.65,3.536826466
938.66,3.533917966
938.67,3.531152755
938.68,3.528586086
938.69,3.526273208
938.7,3.524262759
938.71,3.522517517
938.72,3.520940307
938.73,3.519432728
938.74,3.517896379
938.75,3.516232858
938.76,3.514343764
938.77,3.512130697
938.78,3.509495254
938.79,3.506371623
938.8,3.502836602
938.81,3.499005988
938.82,3.49499558
938.83,3.490921178
938.84,3.486898581
938.85,3.483043586
938.86,3.479471995
938.87,3.47629875
938.88,3.473574395
938.89,3.471241239
938.9,3.469231227
938.91,3.467476301
938.92,3.465908407
938.93,3.464459486
938.94,3.463061485
938.95,3.461646345
938.96,3.460149279
938.97,3.458548007
938.98,3.456849976
938.99,3.455063241
939,3.45319586
939.01,3.451255889
939.02,3.449251385
939.03,3.447190405
939.04,3.445081006
939.05,3.442935462
939.06,3.440784537
939.07,3.438664061
939.08,3.436609863
939.09,3.434657772
939.1,3.432843618
939.11,3.43120323
939.12,3.429772437
939.13,3.428586547
939.14,3.42764132
939.15,3.426865954
939.16,3.42618326
939.17,3.425516048
939.18,3.424787129
939.19,3.423919313
939.2,3.422835411
939.21,3.421458233
939.22,3.419719231
939.23,3.417662467
939.24,3.415410875
939.25,3.413089014
939.26,3.410821444
939.27,3.408732725
939.28,3.406947416
939.29,3.405590075
939.3,3.404785264
939.31,3.40461981
939.32,3.405014868
939.33,3.405846128
939.34,3.406989283
939.35,3.408320021
939.36,3.409714035
939.37,3.411047013
939.38,3.412194648
939.39,3.413033549
